id	group	value
1	control	107.45071229516849
2	control	97.92603548243223
3	control	109.71532807151038
4	control	122.84544784612038
5	control	96.48769937914996
6	control	96.4879456457623
7	control	123.68819223261087
8	control	111.51152093729362
9	control	92.95788421097572
10	control	108.13840065378947
11	control	93.04873460781306
12	control	93.01405369644614
13	control	103.62943407349051
14	control	71.30079633013304
15	control	74.12623251230451
16	control	91.5656870613854
17	control	84.80753319498365
18	control	104.71370998892911
19	control	86.37963886718184
20	control	78.81544447997062
21	control	121.98473153382331
22	control	96.61335549270197
23	control	101.01292307031886
24	control	78.62877720679815
25	control	91.83425913212226
26	control	101.66383884564799
27	control	82.73509633866546
28	control	105.63547027518509
29	control	90.99041965121792
30	control	95.62459375310085
31	control	90.97440081655904
32	control	127.78417276763406
33	control	99.79754162893099
34	control	84.1343360656615
35	control	112.33817368154783
36	control	81.68734525043467
37	control	103.13295392507133
38	control	70.60494814180336
39	control	80.07720926652354
40	control	102.95291853803685
41	control	111.07699869993115
42	control	102.57052421784955
43	control	98.2652757641764
44	control	95.48344456616067
45	control	77.82217014448858
46	control	89.20233687407936
47	control	93.09041843560318
48	control	115.85683339328374
49	control	105.15427434352692
50	control	73.554397669559
51	control	104.86125954092192
52	control	94.22376579375525
53	control	89.84616999541062
54	control	109.17514433261302
55	control	115.46499283743927
56	control	113.96920178674299
57	control	87.41173715166042
58	control	95.36181436223178
59	control	104.96895147105346
60	control	114.63317690683539
61	control	92.81238643232065
62	control	97.21511535004274
63	control	83.40497538990958
64	control	82.05690063878994
65	control	112.18788733591298
66	control	120.34360042856234
67	control	98.91984817629499
68	control	115.05299346838036
69	control	105.42454037571451
70	control	90.32320368092314
71	control	105.4209340826262
72	control	123.07054849698955
73	control	99.46260941335073
74	control	123.4696548372101
75	control	60.703823438653835
76	control	112.32853756562835
77	control	101.30570602357257
78	control	95.51488974301199
79	control	101.37641164803253
80	control	70.18646628098661
81	control	96.70492168243732
82	control	105.35668857267619
83	control	122.16841067112274
84	control	92.22594672589528
85	control	87.87259595660218
86	control	92.47364434623195
87	control	113.73103176553111
88	control	104.93126664489526
89	control	92.05359694349441
90	control	107.69901149670034
91	control	101.4561632402206
92	control	114.52967485799334
93	control	89.46920359183972
94	control	95.08506780103347
95	control	94.11837770301764
96	control	78.04727577801822
97	control	104.44180415596864
98	control	103.91582908269834
99	control	100.07670184963692
100	control	96.4811929993728
101	control	78.76943886924379
102	control	93.69032015851961
103	control	94.85928225209845
104	control	87.96584096167572
105	control	97.58071432500986
106	control	106.06076285221808
107	control	128.29278851815795
108	control	102.61866719247759
109	control	103.86325586084146
110	control	98.8833112635075
111	control	71.21843177051437
112	control	99.60229186826174
113	control	100.90345314911539
114	control	136.9486316872793
115	control	97.11458552828316
116	control	104.52321013500419
117	control	99.47932345442135
118	control	82.46982943570703
119	control	117.14234221772531
120	control	111.27899549030161
121	control	111.8654792056457
122	control	86.35918817807891
123	control	121.04191466404149
124	control	78.97223405811579
125	control	108.80285640700406
126	control	132.85683438714966
127	control	85.14195512303968
128	control	91.50553405595842
129	control	101.49477047631461
130	control	92.44786518825701
131	control	76.74004853400801
132	control	101.0284446220904
133	control	84.06544429410843
134	control	107.10388645952773
135	control	86.20863648649295
136	control	123.24901607526309
137	control	88.25120061495645
138	control	95.16907725691486
139	control	112.20275826054504
140	control	81.53703525349067
141	control	103.41189901906193
142	control	119.60714131423643
143	control	75.88775148158159
144	control	102.76950787798457
145	control	103.89824191372635
146	control	111.72734307665965
147	control	81.44573933682878
148	control	80.19315080373585
149	control	107.82912348425347
150	control	104.45477009849779
151	control	103.75739275518815
152	control	105.19672314245463
153	control	89.79962917632264
154	control	103.48380545741506
155	control	104.39608709948021
156	control	89.28472872960448
157	control	127.98661766717134
158	control	107.10749381367681
159	control	82.13044754196028
160	control	109.84830412950744
161	control	85.37977494659017
162	control	111.80626905613678
163	control	117.37893368511106
164	control	87.68976522472434
165	control	114.45064193866483
166	control	106.19171390404748
167	control	112.33090239991735
168	control	128.4518947398092
169	control	96.31917825995694
170	control	88.69395753463766
171	control	86.65728355561716
172	control	87.76284572551843
173	control	98.84347435878844
174	control	105.11727962224965
175	control	104.15036198995028
176	control	112.40774873554035
177	control	100.1950283781686
178	control	121.80301115735975
179	control	96.03014750143066
180	control	140.8025374988443
181	control	109.3850102164751
182	control	87.14263665375576
183	control	83.93661252908332
184	control	107.23708622864778
185	control	96.64805822011223
186	control	110.71000741138138
187	control	107.09856436860318
188	control	98.9075663101469
189	control	87.29809422897392
190	control	77.27729162971204
191	control	93.30227571899468
192	control	112.84598191485209
193	control	103.21140616195306
194	control	81.31391831932018
195	control	102.59771388776772
196	control	105.77976069593255
197	control	86.742138456983
198	control	102.30587658918292
199	control	100.87313077669
200	control	82.85544553254066
201	control	105.36681040522424
202	control	108.41176789552351
203	control	116.24576864762915
204	control	115.80703078052355
205	control	79.33495948064363
206	control	85.93262440127316
207	control	107.7255290081299
208	control	107.70678926368313
209	control	107.72571529459071
210	control	157.7909723598208
211	control	108.5633576603975
212	control	117.03348460270898
213	control	114.31002645239803
214	control	109.77086876958697
215	control	95.27096133039481
216	control	111.38453830739901
217	control	88.40762178193643
218	control	96.44772089889986
219	control	92.71954678256344
220	control	101.22811209079484
221	control	134.71987850010262
222	control	71.99102211112378
223	control	110.2939028556177
224	control	75.80926193215522
225	control	92.92102201315849
226	control	116.33425895451049
227	control	100.96420028643195
228	control	83.8338283310604
229	control	89.27044436110047
230	control	110.19396623402014
231	control	89.04450052424295
232	control	103.24687884372962
233	control	100.6835775985572
234	control	90.22599478591275
235	control	132.1591613398799
236	control	109.50878533477017
237	control	69.6228612001359
238	control	102.79681472154141
239	control	90.07320302847418
240	control	112.78650002194335
241	control	88.11218892350949
242	control	98.27895337799652
243	control	107.57480918470685
244	control	112.98632791255181
245	control	81.99555389416335
246	control	94.98248146238578
247	control	92.87582033258566
248	control	90.20006151139432
249	control	126.48181360421646
250	control	106.07472566441433
251	control	81.08674068497433
252	control	113.76792920582164
253	control	131.8323429551895
254	control	115.4869789082672
255	control	77.2094505106898
256	control	92.73648890700623
257	control	119.00366723779933
258	control	89.38495801571828
259	control	106.65729142219342
260	control	111.61951080144006
261	control	86.09604292632875
262	control	99.10711965907299
263	control	51.38098989896391
264	control	84.63418537998565
265	control	96.2114777291026
266	control	81.28325227052726
267	control	124.48616955897452
268	control	78.54787933059052
269	control	93.39933269954524
270	control	101.96110865929137
271	control	121.61909933599173
272	control	78.46206773230841
273	control	117.4474562823244
274	control	100.1534959152938
275	control	85.27737023428074
276	control	106.93155211394907
277	control	102.98589543360205
278	control	90.99674684261808
279	control	101.04703127485028
280	control	94.2202960470736
281	control	101.70276017876873
282	control	109.9319601178157
283	control	123.79025224218029
284	control	81.43276751759726
285	control	131.995500619844
286	control	70.71868300716247
287	control	97.72322357446625
288	control	108.82475809726864
289	control	104.2148780160255
290	control	90.65950720269109
291	control	96.87816624464087
292	control	92.6049859801175
